column_0,column_1,column_2
0.0030100625542352844,0.9964583936304996,0.0005315438152648862
0.0030098020051162384,0.9963714641058902,0.0006187338889933603
0.0030094997262214464,0.9962706119073295,0.0007198883664488371
0.0030091491532780856,0.9961536469116045,0.000837203935117264
0.0030087427310567265,0.9960180483956019,0.0009732088733410539
0.0030082717786435232,0.9958609200385651,0.001130808182791175
0.0030077263413717417,0.9956789405705957,0.0013133330880323757
0.003007095030663182,0.9954683103341662,0.0015245946351704473
0.0030063648535865795,0.995224694377264,0.001768940769149224
0.0030055210352419506,0.9949431631933834,0.0020513157713743695
0.003004546839372524,0.9946181329071291,0.00237732025349817
0.003003423395646355,0.9942433076329116,0.0027532689714418494
0.003002129545278431,0.9938116279624174,0.0031862424923038775
0.00300064172166504,0.9933152311437846,0.003684127134549924
0.002998933888822904,0.9927454305405072,0.0042556355706694134
0.002996977567970961,0.9920927245064051,0.004910297925623514
0.002994741991770087,0.9913468478398614,0.005658410168368118
0.0029921944362219467,0.990496882519972,0.006510923043805646
0.002989300791745387,0.989531448241364,0.007479250966890319
0.0029860264465298354,0.9884389971345974,0.00857497641887248
0.002982337564752584,0.9872082402305332,0.009809422204713895
0.0029782028470101453,0.9858287348098823,0.011193062343107157
0.0029735958554963308,0.9842916601745404,0.012734743969962912
0.002968497965614858,0.9825908024223433,0.014440699612041428
0.0029629019603515075,0.9807237536718203,0.016313344367827762
0.002956816203308649,0.9786933043516118,0.018349879445078997
0.0029502692014151083,0.9765089655009924,0.02054076529759189
0.002943314191856058,0.9741884991511589,0.022868186656984427
0.0029360331620114795,0.9717592595357372,0.02530470730225071
0.0029285394573917638,0.9692590632012813,0.027812397341326296
0.002920977899966036,0.9667362284862794,0.03034279361375395
0.0029135212154831106,0.9642483835340837,0.03283809525043238
0.0029063616820044543,0.961859679913092,0.035233958404902746
0.0028996974111217596,0.95963621548818,0.03746408710069727
0.002893713673557835,0.9576398039023388,0.03946648242410226
0.002888561172346409,0.9559207256498818,0.041190713177770795
0.0028843348900648275,0.9545106706764062,0.04260499443352787
0.002881058506471145,0.9534175394860408,0.04370140200748707
0.002878679550454664,0.9526238256403423,0.044497494809201815
0.0028770786385548977,0.9520896980937281,0.045033223267715514
0.0028760922470022765,0.9517605988471801,0.045363308905815795
0.0028755435781528966,0.9515775412120493,0.04554691520979579
0.002875272516436458,0.9514871042994353,0.045637623184125974
0.002875155799263152,0.9514481628327406,0.04567668136799359
0.0028751129395089654,0.9514338631230846,0.045691023937403506
0.0028750998510201787,0.9514294962854057,0.0456954038635703
0.0028750966221553344,0.95142841900835,0.045696484369490205
0.0028750959998766873,0.9514282113915742,0.04569669260854369
0.002875095909708397,0.9514281813078651,0.04569672278242021
0.002875095900294382,0.9514281781669772,0.0456967259327218
0.0028750958995742153,0.9514281779267009,0.04569672617371858
0.002875095899528759,0.951428177911535,0.045696726188929324
0.0028750958995381083,0.9514281779146545,0.04569672618579533
