x_model,own_WHAM_eV,PyMBAR_FES_eV,analytic_eV,samples
-0.46499999999999997,0.08266038217813354,0.0826350269247435,0.07956737010728894,1584
-0.43499999999999994,0.08842981506380054,0.08847802702894118,0.0854449211203872,1551
-0.4049999999999999,0.09574916196372668,0.09578836778798257,0.09111593778950906,1470
-0.3749999999999999,0.1005623372243874,0.10060034121527714,0.09654162760647009,1457
-0.34499999999999986,0.10295757888899709,0.10294687194228287,0.10168610789083936,1506
-0.31499999999999984,0.11327259646435905,0.11333155328724176,0.10651638555274358,1328
-0.2849999999999999,0.11738935622198698,0.1175063083312534,0.1110023352048552,1312
-0.255,0.12031468560621256,0.12036390929547706,0.11511667597481967,1318
-0.22499999999999998,0.12618531008020772,0.12625511199743153,0.1188349474638418,1243
-0.19499999999999995,0.12888967524051465,0.12896137813048625,0.1221354853844338,1239
-0.16499999999999992,0.12635595757852802,0.12644666744425673,0.1249993974837677,1359
-0.1349999999999999,0.12977503612491031,0.1298503733183552,0.12741054041195105,1321
-0.10499999999999987,0.128894265875786,0.12900366135758648,0.1293554982206932,1387
-0.07499999999999984,0.13758873173147562,0.13770967984591234,0.13082356317235838,1202
-0.04499999999999982,0.13256601684307345,0.13267525105116498,0.13180671949935321,1348
-0.014999999999999902,0.13604649404942587,0.13615260773792456,0.13229963067868752,1272
0.015000000000000013,0.13213087505594612,0.13224295619657625,0.13229963067868752,1373
0.04500000000000004,0.1336785730585121,0.1338065259290237,0.1318067194993532,1322
0.07500000000000007,0.13249582974013463,0.13260840188325385,0.13082356317235838,1331
0.1050000000000001,0.13186417083945834,0.13199506509834863,0.12935549822069317,1316
0.13500000000000012,0.1323456401432651,0.13250951303643413,0.12741054041195102,1265
0.16500000000000015,0.1310901245875301,0.13124162048421836,0.12499939748376768,1250
0.19500000000000017,0.12761967714223793,0.1277529448174444,0.12213548538443378,1282
0.2250000000000001,0.12249394190175533,0.12268728738278711,0.1188349474638418,1350
0.2550000000000001,0.12000716196991368,0.12015867147050963,0.11511667597481964,1343
0.28500000000000014,0.11286352399977406,0.11303143164692986,0.11100233520485517,1453
0.31500000000000017,0.11269479812361666,0.11277375577474323,0.10651638555274354,1365
0.3450000000000002,0.1079657578401314,0.10807955851307566,0.1016861078908393,1392
0.3750000000000002,0.10410926268744014,0.10437757179368302,0.09654162760647,1388
0.40500000000000025,0.09721047934506077,0.09737891507363845,0.091115937789509,1461
0.43500000000000005,0.09065914742313663,0.09087579293877326,0.08544492112038715,1522
0.4650000000000001,0.08824087327023611,0.08842284120757332,0.07956737010728891,1460
0.4950000000000001,0.07657813629928861,0.07681292806618649,0.0735250054168719,1672
0.5250000000000001,0.07111233053464472,0.07138411472440671,0.06736249213447984,1697
0.5550000000000002,0.06673479883473554,0.06694795725954748,0.06112745387355889,1686
0.5850000000000002,0.06218944118249817,0.06251008731992166,0.054870484727144564,1681
0.6150000000000002,0.05729705891660106,0.057532282911090166,0.04864515911532677,1689
