x_model,y_model
1.543010138030423417e-01,-2.030019774679097389e-01
-2.558956953663599210e-02,-1.860142730316797777e-01
-2.558956953663599210e-02,-1.860142730316797777e-01
-2.558956953663599210e-02,-1.860142730316797777e-01
1.045245541648907039e-01,-3.848894874555404133e-01
-1.412280618869858895e-01,-5.444065844360804762e-01
-1.412280618869858895e-01,-5.444065844360804762e-01
-1.496896851518013383e-01,-5.554611398110413933e-01
-1.731425407868112942e-01,-4.113803380131910714e-01
-1.731425407868112942e-01,-4.113803380131910714e-01
-1.650471490156081023e-01,-5.103931439433273543e-01
5.812557793288178343e-02,-7.039288497690060487e-01
1.965855299752930219e-01,-5.765051743542195517e-01
2.753408116960645025e-01,-6.328335621159237867e-01
2.753408116960645025e-01,-6.328335621159237867e-01
2.766826587763023260e-01,-4.374292114305849966e-01
2.766826587763023260e-01,-4.374292114305849966e-01
-1.562278604681385796e-01,-4.438479250156750489e-01
-1.214363418086591012e-01,-3.749994226015832544e-01
-1.214363418086591012e-01,-3.749994226015832544e-01
1.792857312413909110e-03,-2.867725245360441821e-01
2.474897281609029272e-03,-3.266162728905943613e-01
-1.650681979104790531e-01,-2.817377033052312907e-01
-1.650681979104790531e-01,-2.817377033052312907e-01
-1.912444388552826391e-01,-2.584831207395618669e-01
-5.928070100201415782e-02,-3.736179565821238224e-01
1.014239514962744781e-01,-4.212359068456436040e-01
2.243279002876507611e-01,-1.394376769391073578e-01
2.207193359300707869e-01,7.436179128985426212e-02
2.207193359300707869e-01,7.436179128985426212e-02
1.772149195710475689e-01,-1.141041087470932858e-01
-2.721575094986936061e-02,-4.146538242900594806e-01
-2.636772198054985195e-01,-3.057919325721180637e-01
-1.137713711481829759e-01,-2.946039562159419867e-01
-1.137713711481829759e-01,-2.946039562159419867e-01
-1.137713711481829759e-01,-2.946039562159419867e-01
-1.137713711481829759e-01,-2.946039562159419867e-01
3.063741048066193073e-02,-1.367067173988479878e-01
3.063741048066193073e-02,-1.367067173988479878e-01
3.147179969135141531e-01,1.141692814118848154e-01
2.169909112082512026e-01,-6.541943656209409097e-02
2.215279088837712740e-01,-6.589006819514690860e-02
2.215279088837712740e-01,-6.589006819514690860e-02
2.215279088837712740e-01,-6.589006819514690860e-02
-1.080860802678286769e-01,4.659174105257621323e-02
-1.080860802678286769e-01,4.659174105257621323e-02
-1.416993663104278989e-01,-9.413520050670443062e-02
-1.388704534718540884e-01,3.003017227472150330e-02
-1.388704534718540884e-01,3.003017227472150330e-02
-1.428115514580161061e-01,-1.248147522963313910e-01
-1.428115514580161061e-01,-1.248147522963313910e-01
-1.258099409994382079e-01,-6.003772864825177025e-02
-1.258099409994382079e-01,-6.003772864825177025e-02
4.115541078740164727e-02,-2.887973116719403932e-01
4.115541078740164727e-02,-2.887973116719403932e-01
-1.043368173385623432e-01,-4.640533536165096784e-01
-9.742299096401600689e-02,-4.011781543974801689e-01
-9.633129785574504056e-02,-1.352264935590594686e-01
5.104959064252084788e-02,-1.046244628470460181e-01
5.104959064252084788e-02,-1.046244628470460181e-01
5.104959064252084788e-02,-1.046244628470460181e-01
1.199231087199898321e-01,-6.438384476506214815e-02
3.556285111340090621e-02,5.636995797148738885e-02
1.792905535110723980e-02,1.550398420820006673e-01
-9.213172140695297108e-02,1.555074400529639356e-01
2.416504719433375248e-02,9.787289871255785978e-02
7.818638771826083578e-02,3.533816563862585136e-02
-2.642102643494656511e-02,-1.400229593059329203e-01
-2.642102643494656511e-02,-1.400229593059329203e-01
-2.642102643494656511e-02,-1.400229593059329203e-01
