# x_bohr V_Hartree
2.199501246882793914e+00 2.418902867519482580e+00
2.229426433915212336e+00 2.485171112119950454e+00
2.259351620947630757e+00 2.552334873539343185e+00
2.289276807980049178e+00 2.620394151777661662e+00
2.319201995012469375e+00 2.689348946834908993e+00
2.349127182044887796e+00 2.759199258711077629e+00
2.379052369077306217e+00 2.829945087406171567e+00
2.408977556109726414e+00 2.901586432920195247e+00
2.438902743142144836e+00 2.974123295253139343e+00
2.468827930174563257e+00 3.047555674405009185e+00
2.498753117206983454e+00 3.121883570375808326e+00
2.528678304239401875e+00 3.197106983165528327e+00
2.558603491271820296e+00 3.273225912774174073e+00
2.588528678304238717e+00 3.350240359201744678e+00
2.618453865336658914e+00 3.428150322448245024e+00
2.648379052369077336e+00 3.506955802513666232e+00
2.678304239401495757e+00 3.586656799398012296e+00
2.708229426433915954e+00 3.667253313101288548e+00
2.738154613466334375e+00 3.748745343623485660e+00
2.768079800498752796e+00 3.831132890964607629e+00
2.798004987531172993e+00 3.914415955124659785e+00
2.827930174563591414e+00 3.998594536103632358e+00
2.857855361596009836e+00 4.083668633901529788e+00
2.887780548628428257e+00 4.169638248518353407e+00
2.917705735660848454e+00 4.256503379954106769e+00
2.947630922693266875e+00 4.344264028208780104e+00
2.977556109725685296e+00 4.432920193282378740e+00
3.007481296758105493e+00 4.522471875174908007e+00
3.037406483790523914e+00 4.612919073886357246e+00
3.067331670822942336e+00 4.704261789416731787e+00
3.097256857855362533e+00 4.796500021766036959e+00
3.127182044887780954e+00 4.889633770934261214e+00
3.157107231920199375e+00 4.983663036921411660e+00
3.187032418952617796e+00 5.078587819727487407e+00
3.216957605985037993e+00 5.174408119352493785e+00
3.246882793017456414e+00 5.271123935796419246e+00
3.276807980049874836e+00 5.368735269059270898e+00
3.306733167082295033e+00 5.467242119141052292e+00
3.336658354114713454e+00 5.566644486041754547e+00
3.366583541147131875e+00 5.666942369761381215e+00
3.396508728179552072e+00 5.768135770299939402e+00
3.426433915211970493e+00 5.870224687657416673e+00
3.456359102244388914e+00 5.973209121833819246e+00
3.486284289276807336e+00 6.077089072829147121e+00
3.516209476309227533e+00 6.181864540643405626e+00
3.546134663341645954e+00 6.287535525276584103e+00
3.576059850374064375e+00 6.394102026728687882e+00
3.605985037406484572e+00 6.501564044999723180e+00
3.635910224438902993e+00 6.609921580089676674e+00
3.665835411471321414e+00 6.719174631998556357e+00
3.695760598503741612e+00 6.829323200726367560e+00
3.725685785536160033e+00 6.940367286273096958e+00
3.755610972568578454e+00 7.052306888638751659e+00
3.785536159600996875e+00 7.165142007823331660e+00
3.815461346633417072e+00 7.278872643826844069e+00
3.845386533665835493e+00 7.393498796649274674e+00
3.875311720698253914e+00 7.509020466290630580e+00
3.905236907730674112e+00 7.625437652750918893e+00
3.935162094763092533e+00 7.742750356030125403e+00
3.965087281795510954e+00 7.860958576128257214e+00
3.995012468827931151e+00 7.980062313045320543e+00
4.024937655860349572e+00 8.100061566781302957e+00
4.054862842892767993e+00 8.220956337336209785e+00
4.084788029925186414e+00 8.342746624710043690e+00
4.114713216957606612e+00 8.465432428902808226e+00
4.144638403990025033e+00 8.589013749914490958e+00
4.174563591022443454e+00 8.713490587745098992e+00
4.204488778054863651e+00 8.838862942394639433e+00
4.234413965087282072e+00 8.965130813863099846e+00
4.264339152119700493e+00 9.092294202150483784e+00
4.294264339152118914e+00 9.220353107256793024e+00
4.324189526184539112e+00 9.349307529182034671e+00
4.354114713216957533e+00 9.479157467926194514e+00
4.384039900249375954e+00 9.609902923489279658e+00
4.413965087281796151e+00 9.741543895871297210e+00
4.443890274314214572e+00 9.874080385072232957e+00
4.473815461346632993e+00 1.000751239109209401e+01
4.503740648379053191e+00 1.014183991393088746e+01
4.533665835411471612e+00 1.027706295358859911e+01
4.563591022443890033e+00 1.041318151006523429e+01
4.593516209476308454e+00 1.055019558336079655e+01
4.623441396508728651e+00 1.068810517347529121e+01
4.653366583541147072e+00 1.082691028040870407e+01
4.683291770573565493e+00 1.096661090416104045e+01
4.713216957605985691e+00 1.110720704473231280e+01
4.743142144638404112e+00 1.124869870212249978e+01
4.773067331670822533e+00 1.139108587633161207e+01
4.802992518703242730e+00 1.153436856735966032e+01
4.832917705735661151e+00 1.167854677520662321e+01
4.862842892768079572e+00 1.182362049987251140e+01
4.892768079800497993e+00 1.196958974135732667e+01
4.922693266832918191e+00 1.211645449966107435e+01
4.952618453865336612e+00 1.226421477478373845e+01
4.982543640897755033e+00 1.241287056672532785e+01
5.012468827930175230e+00 1.256242187548585143e+01
5.042394014962593651e+00 1.271286870106529321e+01
