time_internal,E_eV,x1,y1,z1,x2,y2,z2
3.11,-0.8900655742008398,0.011861326064389563,0.10272473147053471,0.0,1.1881386739356086,-0.10272473147053471,0.0
3.112,-0.8900655499338894,0.011652198559817792,0.10282246788763781,0.0,1.1883478014401803,-0.10282246788763781,0.0
3.114,-0.89006552702524,0.011451561720948836,0.1029187204355067,0.0,1.1885484382790492,-0.1029187204355067,0.0
3.116,-0.8900655054249972,0.011259434327919489,0.10301348494735262,0.0,1.1887405656720786,-0.10301348494735262,0.0
3.118,-0.8900654850855481,0.011075834170596483,0.1031067574263435,0.0,1.1889241658294016,-0.1031067574263435,0.0
3.12,-0.8900654659615362,0.010900778076464512,0.10319853404100754,0.0,1.1890992219235337,-0.10319853404100754,0.0
3.122,-0.890065448009842,0.010734281937125672,0.10328881112086788,0.0,1.1892657180628725,-0.10328881112086788,0.0
3.124,-0.8900654311895575,0.01057636073343616,0.10337758515230455,0.0,1.189423639266562,-0.10337758515230455,0.0
3.126,-0.8900654154619636,0.010427028559304987,0.10346485277464021,0.0,1.1895729714406933,-0.10346485277464021,0.0
3.128,-0.8900654007905069,0.01028629864417836,0.10355061077644619,0.0,1.1897137013558199,-0.10355061077644619,0.0
3.13,-0.8900653871407744,0.010154183374232292,0.10363485609206559,0.0,1.189845816625766,-0.10363485609206559,0.0
3.132,-0.8900653744804715,0.010030694312294858,0.1037175857983505,0.0,1.1899693056877034,-0.1037175857983505,0.0
3.134,-0.890065362779399,0.009915842216518384,0.1037987971116102,0.0,1.19008415778348,-0.1037987971116102,0.0
3.136,-0.8900653520094288,0.009809637057820739,0.10387848738476801,0.0,1.1901903629421777,-0.10387848738476801,0.0
3.138,-0.8900653421444861,0.009712088036113713,0.10395665410472395,0.0,1.1902879119638847,-0.10395665410472395,0.0
3.14,-0.8900653331605254,0.009623203595335375,0.10403329488992108,0.0,1.190376796404663,-0.10403329488992108,0.0
3.142,-0.8900653250355115,0.009542991437302072,0.10410840748811344,0.0,1.1904570085626962,-0.10410840748811344,0.0
3.144,-0.890065317749403,0.009471458534394645,0.10418198977433349,0.0,1.1905285414656037,-0.10418198977433349,0.0
3.146,-0.8900653112841336,0.009408611141092238,0.10425403974905745,0.0,1.1905913888589061,-0.10425403974905745,0.0
3.148,-0.8900653056235971,0.009354454804365918,0.10432455553656697,0.0,1.1906455451956324,-0.10432455553656697,0.0
3.15,-0.8900653007536331,0.00930899437294318,0.10439353538350576,0.0,1.1906910056270552,-0.10439353538350576,0.0
