x_bohr,V_Hartree,psi_0,psi_1,psi_2,psi_3
-2.109725685785536,0.020334911058523718,0.5254110037355978,-0.5714784007639712,-0.3922589153524741,0.3525418049529379
-2.079800498753117,0.010599589952958746,0.5328793808092087,-0.5785313162707498,-0.38163716841270323,0.3268415649863151
-2.049875311720698,0.004079947274080255,0.5396102769804932,-0.5847131536097399,-0.36971921212585873,0.2996549203284193
-2.019950124688279,0.000643180040123364,0.5455880760194387,-0.5900077773274351,-0.3565412079914185,0.2711020109141437
-1.99002493765586,0.0001584099502178883,0.5508010768269094,-0.5944035219208792,-0.3421458736017873,0.24131135387252672
-1.9600997506234412,0.0024966833843889794,0.5552414936592605,-0.5978931743715923,-0.32658206154380004,0.2104187523823103
-1.930174563591022,0.00753097140355703,0.5589054234533845,-0.6004739190833467,-0.30990429218941573,0.17856615823371266
-1.9002493765586035,0.015136169749537166,0.5617927817385084,-0.6021472470695254,-0.29217224696564603,0.14590050244945835
-1.8703241895261842,0.025189098845040434,0.5639072089455317,-0.6029188315987521,-0.27345022895663873,0.1125725082268152
-1.8403990024937658,0.037568503793671916,0.5652559492080974,-0.6027983728218328,-0.25380659784040643,0.07873550015711292
-1.8104738154613464,0.05215505437993334,0.5658497039895455,-0.6017994141662343,-0.2333131862022124,0.04454422317572371
-1.7805486284289271,0.06883134506922024,0.5657024630649369,-0.599939133495049,-0.21204470420126148,0.010153684012472509
-1.7506234413965087,0.08748189500782326,0.5648313155369593,-0.5972381121850895,-0.19007813940388682,-0.024281972929057056
-1.7206982543640894,0.10799314802292986,0.5632562436689407,-0.5937200853842446,-0.16749215834308825,-0.05861054431204503
-1.690773067331671,0.13025347262262024,0.5609999023786214,-0.5894116767628358,-0.14436651603043482,-0.09268279136443146
-1.6608478802992517,0.15415316199587234,0.55808738725442,-0.5843421210798083,-0.1207814792422083,-0.12635339944814203
-1.6309226932668324,0.17958443401255725,0.5545459939341852,-0.5785429778451654,-0.09681726893809538,-0.15948186625200586
-1.600997506234414,0.2064414312234411,0.5504049716277614,-0.5720478392786896,-0.0725535266589058,-0.1919333124380164
-1.5710723192019946,0.23462022086018763,0.5456952734724799,-0.5648920356457571,-0.04806880920098965,-0.22357920986305813
-1.5411471321695762,0.264018794835352,0.5404493062886324,-0.5571123408983519,-0.023440115290389578,-0.2542980237841082
-1.511221945137157,0.29453706974238875,0.5347006821540233,-0.5487466813679209,0.0012575526099116155,-0.2839757667140203
-1.4812967581047376,0.3260768868556443,0.5284839740469165,-0.5398338500512497,0.025951588820732816,-0.31250646280904615
-1.4513715710723192,0.3585420121303602,0.5218344776192143,-0.5304132288059592,0.05057214534615746,-0.33979252282214295
-1.4214463840398999,0.39183813620267643,0.5147879809606387,-0.5205245205332772,0.07505245177854006,-0.36574503073403486
-1.3915211970074814,0.4258728743896238,0.507380544004014,-0.5102074931770891,0.09932909339058353,-0.3902839441655219
-1.3615960099750621,0.46055576668913223,0.49964828900531155,-0.49950173711432666,0.12334224712249461,-0.4133382115706302
-1.3316708229426428,0.4957982777800243,0.4916272033134957,-0.48844643725665093,0.14703587566468115,-0.43484581000422845
-1.3017456359102244,0.5315137970220168,0.48335295542774487,-0.47708016093095074,0.17035788029014556,-0.45475370794534953
-1.271820448877805,0.5676176384557262,0.4748607251263176,-0.46544066235983045,0.19326021350196895,-0.4730177582364843
-1.2418952618453867,0.6040270408026583,0.46618504824488727,-0.453564704326056,0.21569895292740948,-0.489602526669424
-1.2119700748129674,0.6406611674652195,0.45735967648489817,-0.4414878973794847,0.23763433820948163,-0.5044810621115208
-1.182044887780548,0.6774411065267072,0.44841745244638087,-0.4292445567335158,0.2590307729186894,-0.5176346143258638
-1.1521197007481296,0.7142898707513149,0.43939019990631584,-0.41686757680236386,0.2798567937319566,-0.5290523057996339
-1.1221945137157103,0.7511323975841337,0.43030862920429863,-0.40438832315181483,0.30008500930359583,-0.5387307639627456
-1.092269326683292,0.7878955491511463,0.42120225745286677,-0.3918365414755742,0.3196920113859352,-0.5466737201608324
-1.0623441396508726,0.8245081122592339,0.41209934316098035,-0.379240283067439,0.33865826084710776,-0.5528915816503457
-1.0324189526184533,0.8609007983961702,0.4030268347461019,-0.366625846136588,0.35696795128312475,-0.5574009827173092
-1.0024937655860349,0.8970062437306242,0.39401033231311317,-0.3540177322092182,0.37460885293371665,-0.560224320793688
-0.9725685785536156,0.9327590091121634,0.3850740619967097,-0.34143861677423515,0.3915721395898502,-0.561389283165121
-0.9426433915211971,0.9680955800712447,0.37624086209748264,-0.32890933326313737,0.4078522011288516,-0.5609283695396525
-0.9127182044887778,1.0029543668192267,0.3675321801900003,-0.31644886940383576,0.4234464442343422,-0.5588784153876137
-0.8827930174563585,1.0372757042483578,0.3589680803430554,-0.3040743749539535,0.4383550837564431,-0.5552801205761779
-0.8528678304239401,1.071001851931783,0.35056725956693324,-0.29180117980005926,0.4525809270466326,-0.550177587416108
-0.8229426433915208,1.104076994123545,0.34234707258907937,-0.27964282140409136,0.4661291534648654,-0.543617871820167
-0.7930174563591024,1.136447239758578,0.33432356405681657,-0.26761108058565386,0.47900709110759554,-0.5356505508492039
-0.7630922693266831,1.1680606224527148,0.32651150727267786,-0.25571602464758775,0.4912239926475103,-0.5263273094991527
-0.7331670822942637,1.1988671005026805,0.31892444858332364,-0.24396605688089829,0.5027908120121941,-0.515701549165431
-0.7032418952618453,1.2288185568860956,0.31157475656577976,-0.23236797152241784,0.5137199834625047,-0.5038280198152034
-0.673316708229426,1.2578687992614779,0.3044736751837362,-0.2209270132832012,0.5240252044647664,-0.4907624775066441
-0.6433915211970076,1.285973559968238,0.29763138012080703,-0.20964694061630948,0.5337212235863573,-0.47656136852098513
-0.6134663341645883,1.3130904960266836,0.2910570375359369,-0.19853009194814603,0.5428236344839399,-0.46128154102043256
-0.583541147132169,1.3391791891380167,0.28475886452757276,-0.18757745415671226,0.5513486768993114,-0.44497998481491235
-0.5536159600997506,1.364201145684333,0.2787441906368972,-0.1767887326420002,0.5593130454311185,-0.42771359951452004
-0.5236907730673312,1.388119796728626,0.2730195197655154,-0.16616242239725354,0.5667337067128021,-0.40953899106330927
-0.49376558603491283,1.4109004980147821,0.2675905919287501,-0.15569587955411773,0.5736277254990898,-0.39051229639403384
-0.4638403990024935,1.4325105299675849,0.26246244431146387,-0.14538539293896513,0.5800121000459338,-0.37068903571253625
-0.4339152119700742,1.4529190976927115,0.25763947113851415,-0.13522625524121296,0.5859036070625323,-0.35012399171419084
-0.4039900249376558,1.4720973309767342,0.2531254819160564,-0.1252128334566216,0.5913186564193046,-0.32887111485230575
-0.3740648379052365,1.490018284287122,0.24892375764253116,-0.1153386383288332,0.5962731557125819,-0.30698345361858376
-0.34413965087281806,1.5066569367722364,0.24503710462896355,-0.10559639257032045,0.6007823847152746,-0.2845131086572823
-0.31421446384039875,1.5219901922613372,0.24146790560691603,-0.09597809769907714,0.6048608796827221,-0.2615112094161079
-0.28428927680797944,1.5359968792645773,0.23821816783887642,-0.08647509937947521,0.6085223274340044,-0.23802791193646344
-0.254364089775561,1.5486577509730048,0.23528956797992337,-0.07707815120447956,0.6117794690907589,-0.2141124163017664
-0.2244389027431417,1.5599554852585638,0.23268349347112774,-0.06777747690164644,0.614644013327472,-0.18981300219336486
-0.1945137157107233,1.5698746846740927,0.23040108027433573,-0.05856283098687872,0.6171265589686799,-0.16517708094739766
-0.16458852867830398,1.5784018764533263,0.22844324678478914,-0.04942355792765375,0.6192365267588288,-0.14025126246102496
-0.13466334164588467,1.585525512510893,0.22681072378257736,-0.040348649911296254,0.6209821001289488,-0.11508143526117681
-0.10473815461346625,1.5912359694423168,0.22550408030633534,-0.031326803343782995,0.6223701747899923,-0.08971285802177967
-0.07481296758104694,1.5955255485240185,0.22452374535308461,-0.02234647423050692,0.6234063169948384,-0.06419026079491241
-0.04488778054862852,1.5983884757133109,0.22387002532687844,-0.013395932612376251,0.6240947303286839,-0.03855795420624264
-0.01496259351620921,1.5998209016484048,0.22354311717620684,-0.004463316248574736,0.624438230909944,-0.012859944854296427
0.014962593516210099,1.5998209016484048,0.2235431171762035,0.00446331624873712,0.624438230909944,0.012859944854301555
0.04488778054862852,1.5983884757133109,0.22387002532686842,0.013395932612538896,0.6240947303286845,0.03855795420624779
0.07481296758104783,1.595525548524018,0.22452374535306782,0.02234647423067009,0.6234063169948393,0.06419026079491758
0.10473815461346625,1.5912359694423168,0.2255040803063118,0.03132680334394694,0.6223701747899938,0.08971285802178486
0.13466334164588556,1.585525512510893,0.226810723782547,0.04034864991146124,0.6209821001289506,0.11508143526118206
0.16458852867830487,1.5784018764533263,0.22844324678475197,0.04942355792782003,0.6192365267588309,0.14025126246103017
0.1945137157107233,1.5698746846740927,0.23040108027429176,0.05856283098704656,0.6171265589686822,0.1651770809474029
0.2244389027431426,1.5599554852585635,0.23268349347107684,0.06777747690181611,0.6146440133274745,0.18981300219337027
0.254364089775561,1.5486577509730048,0.23528956797986553,0.0770781512046513,0.6117794690907614,0.21411241630177189
0.28428927680798033,1.5359968792645768,0.23821816783881158,0.08647509937964927,0.6085223274340069,0.23802791193646902
0.31421446384039964,1.521990192261337,0.24146790560684406,0.09597809769925378,0.6048608796827246,0.26151120941611344
0.34413965087281806,1.5066569367722364,0.24503710462888428,0.1055963925704999,0.600782384715277,0.284513108657288
0.37406483790523737,1.490018284287121,0.24892375764244448,0.11533863832901575,0.5962731557125841,0.30698345361858925
0.4039900249376558,1.4720973309767342,0.25312548191596224,0.12521283345680745,0.5913186564193066,0.32887111485231146
0.4339152119700751,1.4529190976927109,0.25763947113841235,0.1352262552414024,0.5859036070625341,0.35012399171419656
0.4638403990024935,1.4325105299675849,0.26246244431135435,0.1453853929391584,0.5800121000459351,0.370689035712542
0.49376558603491283,1.4109004980147821,0.2675905919286326,0.1556958795543151,0.5736277254990906,0.39051229639403984
0.5236907730673321,1.3881197967286256,0.27301951976538985,0.1661624223974553,0.5667337067128025,0.4095389910633156
0.5536159600997506,1.364201145684333,0.2787441906367634,0.17678873264220651,0.5593130454311184,0.4277135995145265
0.5835411471321699,1.339179189138016,0.28475886452743066,0.18757745415692334,0.5513486768993107,0.444979984814919
0.6134663341645883,1.3130904960266836,0.2910570375357863,0.19853009194836216,0.5428236344839388,0.4612815410204394
0.6433915211970076,1.285973559968238,0.29763138012064777,0.20964694061653077,0.5337212235863557,0.47656136852099223
0.6733167082294269,1.257868799261477,0.30447367518356816,0.22092701328342798,0.5240252044647641,0.4907624775066515
0.7032418952618453,1.2288185568860956,0.3115747565656028,0.23236797152265035,0.5137199834625015,0.5038280198152112
0.7331670822942646,1.1988671005026794,0.3189244485831377,0.2439660568811367,0.5027908120121903,0.5157015491654388
0.7630922693266831,1.1680606224527148,0.3265115072724827,0.25571602464783233,0.49122399264750566,0.526327309499161
0.7930174563591024,1.136447239758578,0.3343235640566121,0.2676110805859047,0.4790070911075902,0.5356505508492124
0.8229426433915217,1.1040769941235442,0.34234707258886554,0.2796428214043487,0.4661291534648596,0.5436178718201755
0.8528678304239401,1.071001851931783,0.3505672595667099,0.29180117980032333,0.45258092704662634,0.5501775874161167
0.8827930174563594,1.0372757042483567,0.35896808034282246,0.30407437495422435,0.43835508375643667,0.5552801205761868
0.9127182044887778,1.0029543668192267,0.36753218018975764,0.31644886940411376,0.42344644423433553,0.558878415387623
0.9426433915211971,0.9680955800712447,0.3762408620972301,0.32890933326342264,0.4078522011288449,0.5609283695396619
0.9725685785536164,0.9327590091121624,0.3850740619964472,0.3414386167745277,0.3915721395898433,0.5613892831651306
1.0024937655860349,0.8970062437306242,0.3940103323128406,0.35401773220951815,0.3746088529337097,0.5602243207936984
1.0324189526184542,0.8609007983961693,0.40302683474581924,0.3666258461368955,0.35696795128311765,0.5574009827173204
1.0623441396508726,0.8245081122592339,0.4120993431606876,0.3792402830677539,0.33865826084710066,0.5528915816503579
1.092269326683292,0.7878955491511463,0.4212022574525639,0.39183654147589675,0.3196920113859281,0.5466737201608454
1.1221945137157112,0.7511323975841329,0.43030862920398577,0.404388323152145,0.30008500930358883,0.5387307639627593
1.1521197007481296,0.7142898707513149,0.4393901999059929,0.41686757680270153,0.27985679373194977,0.5290523057996483
