x_model,y_model
-1.061483555404196366e+00,0.000000000000000000e+00
-1.061483555404196366e+00,0.000000000000000000e+00
-1.061483555404196366e+00,0.000000000000000000e+00
-1.113148417394421275e+00,0.000000000000000000e+00
-1.113148417394421275e+00,0.000000000000000000e+00
-1.113148417394421275e+00,0.000000000000000000e+00
-9.397918484169202058e-01,0.000000000000000000e+00
-1.092264257141778439e+00,0.000000000000000000e+00
-1.023332437835687614e+00,0.000000000000000000e+00
-1.023332437835687614e+00,0.000000000000000000e+00
-1.067342453573123739e+00,0.000000000000000000e+00
-1.174305489657451629e+00,0.000000000000000000e+00
-1.174305489657451629e+00,0.000000000000000000e+00
-1.109023367951861738e+00,0.000000000000000000e+00
-1.148860474023896128e+00,0.000000000000000000e+00
-1.198909015659563204e+00,0.000000000000000000e+00
-1.198909015659563204e+00,0.000000000000000000e+00
-1.185585307761764184e+00,0.000000000000000000e+00
-1.185585307761764184e+00,0.000000000000000000e+00
-1.185585307761764184e+00,0.000000000000000000e+00
-1.199683445609222243e+00,0.000000000000000000e+00
-1.143951293426575866e+00,0.000000000000000000e+00
-1.081499261670782808e+00,0.000000000000000000e+00
-1.081499261670782808e+00,0.000000000000000000e+00
-1.081499261670782808e+00,0.000000000000000000e+00
-1.099662060442773370e+00,0.000000000000000000e+00
-1.099662060442773370e+00,0.000000000000000000e+00
-9.669731114111347337e-01,0.000000000000000000e+00
-9.746637295457717398e-01,0.000000000000000000e+00
-9.746637295457717398e-01,0.000000000000000000e+00
-1.065052445748093657e+00,0.000000000000000000e+00
-1.065052445748093657e+00,0.000000000000000000e+00
-1.135905271516655990e+00,0.000000000000000000e+00
-8.797130269766655353e-01,0.000000000000000000e+00
-6.506088123823483560e-01,0.000000000000000000e+00
-8.154239283588877729e-01,0.000000000000000000e+00
-8.154239283588877729e-01,0.000000000000000000e+00
-9.590942639132509218e-01,0.000000000000000000e+00
-9.590942639132509218e-01,0.000000000000000000e+00
-9.712228340352740963e-01,0.000000000000000000e+00
-9.712228340352740963e-01,0.000000000000000000e+00
-1.038090408599260384e+00,0.000000000000000000e+00
-1.080272309393032426e+00,0.000000000000000000e+00
-1.147804835581282212e+00,0.000000000000000000e+00
-9.236849405645899402e-01,0.000000000000000000e+00
-9.236849405645899402e-01,0.000000000000000000e+00
-1.017441727142061270e+00,0.000000000000000000e+00
-1.076163081331064308e+00,0.000000000000000000e+00
-9.794892143671803941e-01,0.000000000000000000e+00
-9.926759748456954746e-01,0.000000000000000000e+00
-1.054423830646650018e+00,0.000000000000000000e+00
-9.399077829997648514e-01,0.000000000000000000e+00
-9.399077829997648514e-01,0.000000000000000000e+00
-8.539040825266925872e-01,0.000000000000000000e+00
-7.266489897013497234e-01,0.000000000000000000e+00
-7.266489897013497234e-01,0.000000000000000000e+00
-7.469111959845746718e-01,0.000000000000000000e+00
-6.800857323275959487e-01,0.000000000000000000e+00
-7.381746481401747495e-01,0.000000000000000000e+00
-7.381746481401747495e-01,0.000000000000000000e+00
-7.418132702406797785e-01,0.000000000000000000e+00
-7.418132702406797785e-01,0.000000000000000000e+00
-7.418132702406797785e-01,0.000000000000000000e+00
-1.025078824032217062e+00,0.000000000000000000e+00
-9.042304568642333118e-01,0.000000000000000000e+00
-9.042304568642333118e-01,0.000000000000000000e+00
-8.896973642446184272e-01,0.000000000000000000e+00
-9.719046381714613325e-01,0.000000000000000000e+00
-8.461305227441144883e-01,0.000000000000000000e+00
-1.010221855126497870e+00,0.000000000000000000e+00
-1.010221855126497870e+00,0.000000000000000000e+00
-1.010221855126497870e+00,0.000000000000000000e+00
-1.010221855126497870e+00,0.000000000000000000e+00
-9.363441655019626442e-01,0.000000000000000000e+00
-8.647852872720750428e-01,0.000000000000000000e+00
-8.647852872720750428e-01,0.000000000000000000e+00
-8.647852872720750428e-01,0.000000000000000000e+00
-8.746089862027222051e-01,0.000000000000000000e+00
-9.663699840174362343e-01,0.000000000000000000e+00
-9.858856326783372870e-01,0.000000000000000000e+00
-1.089559711806942222e+00,0.000000000000000000e+00
-1.089559711806942222e+00,0.000000000000000000e+00
-8.269574823063345903e-01,0.000000000000000000e+00
-8.915076107070851741e-01,0.000000000000000000e+00
-1.150888368408879314e+00,0.000000000000000000e+00
-1.127409112951993420e+00,0.000000000000000000e+00
-1.081341601308141831e+00,0.000000000000000000e+00
-1.010027825378442268e+00,0.000000000000000000e+00
-9.725667871120546870e-01,0.000000000000000000e+00
-9.636705892598226297e-01,0.000000000000000000e+00
-9.179509664289587922e-01,0.000000000000000000e+00
-9.449107710711575070e-01,0.000000000000000000e+00
-1.184236415739165160e+00,0.000000000000000000e+00
-1.184236415739165160e+00,0.000000000000000000e+00
-1.184236415739165160e+00,0.000000000000000000e+00
-1.206842945644565956e+00,0.000000000000000000e+00
