# i j k l (ij|kl)_Hartree; unique nonzero AO ERIs, 1-based
7 3 7 2 -7.9887090371522806e-02
7 3 7 3 7.5118445403192763e-02
7 4 4 1 7.4114726619838129e-03
7 4 4 2 4.3905305178385291e-02
7 4 4 3 -6.9123654916228771e-03
7 4 5 4 5.3989649029621088e-03
7 4 6 4 1.1033723614433822e-02
7 4 7 4 1.4357132382445599e-02
7 5 1 1 1.4337215411512427e-01
7 5 2 1 3.3744145462325389e-02
7 5 2 2 1.2803943844431878e-01
7 5 3 1 -1.7448227771560676e-03
7 5 3 2 -1.5708841320098206e-02
7 5 3 3 1.2619048872878905e-01
7 5 4 4 1.2230738732442292e-01
7 5 5 1 8.7742821006876678e-03
7 5 5 2 5.6174836217534545e-02
7 5 5 3 -9.9452965804408267e-03
7 5 5 5 1.3547421508886440e-01
7 5 6 1 5.6697130392379634e-03
7 5 6 2 4.8351313150952431e-02
7 5 6 3 2.5318181828975758e-02
7 5 6 5 3.8847059776589948e-02
7 5 6 6 9.6729441020259752e-02
7 5 7 1 5.8491385531873486e-03
7 5 7 2 6.2396526578103684e-02
7 5 7 3 -4.7458167085416891e-02
7 5 7 5 5.1424758329539598e-02
7 6 1 1 1.0584217610653666e-01
7 6 2 1 2.4842337721228888e-02
7 6 2 2 9.6171226910244004e-02
7 6 3 3 9.5785905246760811e-02
7 6 4 4 9.3882815586319099e-02
7 6 5 1 1.7798768262853610e-03
7 6 5 2 1.6732078410748381e-02
7 6 5 5 9.8738690041441091e-02
7 6 6 1 4.0909671583930409e-03
7 6 6 2 3.8405504294914031e-02
7 6 6 3 2.5681425531644406e-02
7 6 6 5 2.5962980455140849e-02
7 6 6 6 9.1324752484892469e-02
7 6 7 1 4.0909671583930418e-03
7 6 7 2 3.8405504294914031e-02
7 6 7 3 -2.5681425531644403e-02
7 6 7 5 2.5962980455140859e-02
7 6 7 6 1.7851092754454196e-02
7 7 1 1 4.7072681123533355e-01
7 7 2 1 1.1119262183608607e-01
7 7 2 2 4.5466354796541392e-01
7 7 3 1 -8.1164225280903179e-03
7 7 3 2 -8.8860797554796769e-02
7 7 3 3 4.6977239776726792e-01
7 7 4 4 4.3675292327524701e-01
7 7 5 1 6.3394044223900724e-03
7 7 5 2 6.9405520849409277e-02
7 7 5 3 -2.5790155933265068e-02
7 7 5 5 4.5689655527710860e-01
7 7 6 1 1.7891294360650935e-02
7 7 6 2 1.5191807947913930e-01
7 7 6 3 7.3621981828624034e-02
7 7 6 5 9.6729441020259779e-02
7 7 6 6 3.0250879923635976e-01
7 7 7 1 1.8641624778464750e-02
7 7 7 2 2.3542502408263269e-01
7 7 7 3 -2.0671575856130575e-01
7 7 7 5 1.6145719243495230e-01
7 7 7 6 9.1324752484892469e-02
7 7 7 7 7.7460594391989779e-01
